1,삼성전자,"74,800","1,100",+1.49%,100,"4,465,397","5,969,783",52.20,"10,735,671",14.50,9.99,
2,LG에너지솔루션,"455,500","4,000",+0.89%,500,"1,065,870","234,000",4.00,"948,844",308.81,N/A,
3,SK하이닉스,"130,500","3,500",+2.76%,"5,000","950,043","728,002",50.60,"3,439,689",11.80,9.53,
4,삼성전자우,"67,500","1,000",+1.50%,100,"555,449","822,887",74.76,"833,465",13.08,N/A,
5,NAVER,"324,500","6,000",+1.88%,100,"532,339","164,049",55.15,"440,966",3.21,15.22,
6,삼성바이오로직스,"757,000","17,000",+2.30%,"2,500","500,869","66,165",10.51,"44,151",122.02,N/A,
7,LG화학,"653,000","31,000",+4.98%,"5,000","460,968","70,592",49.45,"339,118",17.02,2.93,
8,카카오,"91,900","3,600",+4.08%,100,"409,839","445,962",28.15,"2,456,506",36.18,2.70,
9,현대차,"182,000","1,500",+0.83%,"5,000","388,876","213,668",27.41,"557,675",9.22,2.04,
10,삼성SDI,"540,000","10,000",+1.89%,"5,000","371,328","68,765",44.18,"219,578",33.87,4.54,
11,기아,"79,500","1,900",+2.45%,"5,000","322,264","405,363",35.26,"1,126,064",7.20,5.05,
12,KB금융,"64,600",100,+0.16%,"5,000","268,612","415,808",71.99,"1,275,041",6.18,8.53,
13,POSCO,"280,500",0,0.00%,"5,000","244,559","87,187",52.94,"239,941",4.20,3.61,
14,카카오뱅크,"46,450","2,250",+5.09%,"5,000","220,711","475,159",15.78,"2,659,794",150.32,5.08,
15,현대모비스,"230,500","3,500",+1.54%,"5,000","217,991","94,573",34.30,"160,548",9.28,4.66,
16,셀트리온,"158,000","4,500",+2.93%,"1,000","217,956","137,947",20.62,"476,661",40.20,16.68,
17,신한지주,"41,100",650,+1.61%,"5,000","212,322","516,600",61.90,"1,406,286",5.46,8.20,
18,삼성물산,"109,500","1,500",+1.39%,100,"204,641","186,887",15.79,"212,444",12.46,3.81,
19,LG전자,"123,000","1,000",+0.82%,"5,000","201,287","163,648",28.60,"670,700",17.75,13.23,
20,SK이노베이션,"203,500","3,000",+1.50%,"5,000","188,167","92,466",23.57,"381,775","-5,985.29",-13.58,
21,카카오페이,"132,500","5,000",+3.92%,500,"174,833","131,949",42.69,"276,674",-659.20,-17.97,
22,SK,"223,000","5,000",+2.29%,200,"165,353","74,149",21.89,"70,728",26.06,1.11,
23,LG생활건강,"975,000",0,0.00%,"5,000","152,277","15,618",42.51,"32,436",20.29,17.92,
24,하나금융지주,"50,600",900,+1.81%,"5,000","151,922","300,242",70.78,"1,256,576",4.73,8.96,
25,한국전력,"22,400",650,+2.99%,"5,000","143,800","641,964",14.54,"1,242,753",-13.20,2.91,
26,크래프톤,"277,500","3,500",-1.25%,100,"135,897","48,972",29.67,"279,383",21.75,61.86,
27,삼성생명,"63,800","1,700",+2.74%,500,"127,600","200,000",12.78,"169,516",8.16,3.53,
28,삼성전기,"167,000","4,500",+2.77%,"5,000","124,738","74,694",29.69,"361,991",12.84,10.92,
29,HMM,"25,250",0,0.00%,"5,000","123,482","489,039",10.49,"4,639,519",3.18,8.93,
30,SK텔레콤,"55,300",500,+0.91%,100,"121,015","218,833",44.97,"440,338",8.58,6.44,
31,LG,"76,300",800,+1.06%,"5,000","120,021","157,301",36.26,"188,921",5.03,7.50,
32,SK바이오사이언스,"150,000","4,000",+2.74%,500,"114,750","76,500",4.88,"420,476",57.76,13.25,
33,KT&G,"79,900",300,+0.38%,"5,000","109,697","137,292",36.29,"172,117",9.21,13.22,
34,엔씨소프트,"492,500","20,500",-4.00%,500,"108,124","21,954",43.73,"536,299",30.41,20.83,
35,우리금융지주,"14,650",150,+1.03%,"5,000","106,661","728,061",33.96,"3,515,232",4.48,5.87,
36,하이브,"256,500","17,500",+7.32%,500,"106,071","41,353",16.11,"305,397",91.25,12.52,
37,삼성에스디에스,"137,000",500,+0.37%,500,"106,008","77,378",11.41,"104,434",15.60,6.71,
38,아모레퍼시픽,"181,000","1,000",+0.56%,500,"105,872","58,493",30.09,"263,863",69.80,0.78,
39,대한항공,"30,000","1,050",+3.63%,"5,000","104,346","347,821",12.49,"2,060,885",14.09,-7.22,
40,삼성화재,"213,500","1,500",+0.71%,500,"101,145","47,375",48.64,"73,941",9.23,4.96,
41,고려아연,"529,000","10,000",+1.93%,"5,000","99,822","18,870",18.28,"39,857",13.23,8.37,
42,S-Oil,"84,900","1,100",-1.28%,"2,500","95,583","112,583",77.90,"377,783",8.17,-13.07,
43,포스코케미칼,"114,500","5,500",+5.05%,500,"88,695","77,463",6.43,"157,732",63.93,2.96,
44,넷마블,"102,000","3,400",+3.45%,100,"87,673","85,954",22.99,"230,123",37.72,6.35,
45,현대중공업,"98,000","1,800",+1.87%,"5,000","86,998","88,773",2.15,"97,153",-10.70,-7.86,
46,두산중공업,"16,350",900,+5.83%,"5,000","85,384","522,224",7.64,"4,311,212",48.52,-37.20,
47,KT,"32,350",350,+1.09%,"5,000","84,470","261,112",39.44,"812,748",8.27,4.76,
48,SK아이이테크놀로지,"117,500","8,500",+7.80%,"1,000","83,775","71,298",10.35,"494,670",77.25,11.00,
49,기업은행,"11,050",100,+0.91%,"5,000","82,245","744,301",13.87,"1,539,914",4.09,6.44,
50,SK스퀘어,"54,700","3,000",+5.80%,100,"77,383","141,468",37.60,"1,141,507",N/A,N/A,
